Id,modularity_class,user_id,user_name,Organization,Catergory_1,Catergory_2,Position,Gender,Race,Past Bio Details,user_description,White Hse?,Correspondent?,Video?,user_urls,Newsroom_1,Newsroom_2,shared past,TV contract?,Radio?,user_statuses_count,user_followers_count,user_friends_count,user_favourites_count,user_listed_count,user_verified,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,closnesscentrality,betweenesscentrality,clustering,eigencentrality,Authority,Hub,Notes
ByronTau,0,16125224,Byron Tau,Wall Street Journal,Newspapers,Senate_Press_Galleries,Congress & Politics Reporter,M,White,-,"congress et al. for @wsj. interested in law, intelligence & nat'l security, investigations, gov't ethics and ‚öæÔ∏è. contact me securely: https://t.co/eyMrJ3385Z",FALSE,FALSE,FALSE, ,WSJ, , , , ,16079,44854,2759,12350,1708,TRUE,60,11,71,101,16,117,0.31521,1009.732564,0.16121,0.177077,0.034589,0.006926,-
Dimi,0,59936143,Demetri Sevastopulo,Financial Times,-,Senate_Press_Galleries,Washington Bureau Chief,M,White,"""Former Pentagon & CIA correspondent, Asia News Editor, China correspondent""",Japanese & Chinese speaker„Éª@FT„ÉªIrish„ÉªPhotography: https://t.co/PejJMtopEI & https://t.co/LqWurXu7HL,FALSE,FALSE,FALSE, ,FT, ,N,N, ,15941,42945,9177,2898,1278,TRUE,5,8,13,16,16,32,0.301851,102.064945,0.311111,0.004276,0.001557,0.002135,-
rachaelmbade,0,167024520,Rachael Bade,Politico,Digital,Senate_Periodical_Galleries,Congress Reporter,F,White,-,.@POLITICO Congress reporter. @CNN Political Analyst. Ex-ballerina. Coffee fiend. Spaghetti-obsessed. Email Hill gossip: rbade@politico.com,FALSE,FALSE,FALSE,http://www.politico.com/staff/rachael-bade,POLITICO,CNN,N,Y, ,8650,41902,1702,603,1095,TRUE,152,58,210,473,259,732,0.369625,12711.09584,0.171108,0.539897,0.084043,0.041884,-
burgessev,0,407013776,Burgess Everett,Politico,Digital,Senate_Periodical_Galleries,,M,White,-,POLITICO congressional reporter. Header by the great @jnshinkle,FALSE,FALSE,FALSE,http://www.politico.com/,POLITICO, ,N,N, ,29732,40824,1884,1,1252,TRUE,244,74,318,1137,266,1403,0.375835,27287.19648,0.120544,0.708585,0.123843,0.053133,Goes by Burgess Everett.
rebeccaballhaus,0,705706292,Rebecca Ballhaus,Wall Street Journal,Newspapers,Senate_Press_Galleries,,F,White,-,@WSJ reporter covering the White House and money in politics,TRUE,FALSE,FALSE,https://www.wsj.com/news/author/7537,WSJ, , , , ,14240,38924,1785,1625,1143,TRUE,228,31,259,766,131,897,0.323748,13915.377,0.095906,0.566854,0.110095,0.011037,-
joshgerstein,0,64916983,Josh Gerstein,Politico,Digital,Senate_Periodical_Galleries,,M,White,-,"POLITICO reporter covering White House, Justice Department, the courts and more. Contact me via email or Signal: https://t.co/NO5t0syu5c",TRUE,FALSE,FALSE,http://www.politico.com/blogs/joshgerstein/,POLITICO, ,N,N, ,35996,34306,1655,61,1418,TRUE,132,128,260,369,333,702,0.39822,43418.58999,0.148698,0.466838,0.068506,0.076505,"""Contact me via email or Signal: http://goo.gl/rM8fQV"""
GeraldFSeib,0,18915795,Gerald F Seib,Wall Street Journal,Newspapers,Senate_Press_Galleries,Bureau Chief & Writer,M,White,-,"Wall Street Journal Washington bureau chief and author of the Capital Journal column. Follow my writings, posts and appearances at   https://t.co/ybcLEg35ZA",FALSE,FALSE,FALSE,http://www.wsj.com/news/politics,WSJ, , , , ,6585,33546,251,88,1254,TRUE,39,4,43,61,4,65,0.273597,261.356303,0.145122,0.103193,0.020763,0.001953,-
joshledermanAP,0,23911915,Josh Lederman,Associated Press,Wire Services,Senate_Press_Galleries,,M,White,"""Medill, GW alum.""","Covering foreign policy, national security & the State Department for @AP. Lover of fountain soda and overcast weather. Medill & GW alum. Arizona native.",FALSE,FALSE,FALSE,http://joshlederman.com,AP, , , , ,31339,30312,2951,14042,1231,TRUE,215,45,260,609,98,707,0.345681,34313.58476,0.098615,0.563525,0.103262,0.01941,-
margarettalev,0,58869089,Margaret Talev,Bloomberg News,News Magazine,Senate_Press_Galleries,,F,White,-,Senior White House Correspondent for Bloomberg and CNN Political Analyst @WHCA President. Reach me at mtalev@bloomberg.net,TRUE,TRUE,FALSE,http://www.bloomberg.com/news/,Bloomberg,CNN,N,Y, ,5244,28558,5261,861,988,TRUE,44,19,63,87,41,128,0.336548,3630.44963,0.194118,0.149203,0.017887,0.011301,-
nielslesniewski,0,140286364,Niels Lesniewski,CQ Roll Call,Capitol Hill publications,Senate_Periodical_Galleries,Senior Senate Reporter,M,White,-,Stroke survivor. Senior writer at @rollcall and @CQnow. @hamiltoncollege graduate. Bourbon drinker. niels@cqrollcall.com,FALSE,FALSE,FALSE,http://www.nielslesniewski.com,CQ, , , , ,75635,28530,2482,3182,1232,TRUE,136,105,241,360,391,751,0.395512,36237.27281,0.129825,0.359709,0.068009,0.06034,-
gcaw,0,14848157,Graeme Wood,The Atlantic,-,Senate_Periodical_Galleries,,M,Asian,-,"National correspondent, The Atlantic. Lecturer in political science, Yale University. Visiting at @perryworldhouse. PGP etc: https://t.co/4vLjXpceos",FALSE,TRUE,FALSE, ,ATIC, ,N,N, ,12212,26776,2964,12571,787,TRUE,7,8,15,51,53,104,0.310885,593.660922,0.19697,0.007449,0.001908,0.004714,-
dylanlscott,0,118130765,Dylan Scott,Stat News,-,Senate_Periodical_Galleries,,M,White,"""Started at @mountvernonnews & @ohiou.""",Cover health care and politics for @voxdotcom. Started from @mountvernonnews and @ohiou. I'm at dylan.scott@vox.com or DM for Signal.,FALSE,FALSE,FALSE,http://www.dylanlscott.com,VOX, ,N,N, ,50978,26209,1721,29750,924,TRUE,41,44,85,242,211,453,0.347956,6386.03918,0.169666,0.078725,0.022775,0.022876,"Senate list says ""National Journal."""
KThomasDC,0,15463486,Ken Thomas,Associated Press,Wire Services,Senate_Press_Galleries,White House Reporter,M,White,"""Covered Hillary Clinton's 2016 campaign.""",White House reporter for The Associated Press (@ap). Optimistic Mets' fan. Hoya Saxa! RTs/links‚â†endorsements. Email: kthomas@ap.org.,TRUE,FALSE,FALSE,http://bigstory.ap.org/content/ken-thomas,AP, , , , ,29124,25128,2096,2191,1313,TRUE,122,80,202,250,173,423,0.370646,28404.53393,0.158502,0.413916,0.071103,0.050505,-
jrovner,0,16149614,julie rovner,Kaiser Health News,Digital,Senate_Press_Galleries,,F,White,-,Chief Washington Correspondent Kaiser Health News/horse person/corgi owner; semi-apologetic Michigan/Redskins fan.,FALSE,TRUE,FALSE, ,Kaiser Health News, ,N,N, ,19251,24678,1779,25865,1103,TRUE,37,82,119,84,256,340,0.383854,18104.01964,0.162719,0.066109,0.012942,0.043045,-
RichardRubinDC,0,227790723,Richard Rubin,Wall Street Journal,Newspapers,Senate_Press_Galleries,,M,White,-,I cover U.S. tax policy for the @WSJ. Retweets are not endorsements or tax advice. #TRIH,FALSE,FALSE,FALSE,http://topics.wsj.com/person/A/biography/835,WSJ, ,N,N, ,23695,23805,507,13699,811,TRUE,71,42,113,318,254,572,0.359349,14515.44034,0.157753,0.189902,0.032073,0.025559,-
jenhab,0,16018516,Jennifer Haberkorn,Politico,Digital,Senate_Periodical_Galleries,,F,White,"""@MarquetteU alum.""",Senior health care reporter @POLITICO and @politicopro; @MarquetteU alum; potter. jhaberkorn at politico dot com,FALSE,FALSE,FALSE, ,POLITICO,Politico Pro,N,N, ,11306,23074,1507,2683,1001,TRUE,49,36,85,158,65,223,0.345203,5629.531313,0.218254,0.140224,0.024716,0.017949,-
SiCarswell,0,150224923,Simon Carswell,Irish Times,-,Senate_Press_Galleries,Washington Correspondent,M,White,-,"Irish journalist and author, Public Affairs Editor at @irishtimes covering Brexit - ex: Finance & Washington Correspondent scarswell{at}https://t.co/1Etncb0wHP",FALSE,TRUE,FALSE,http://www.irishtimes.com,Irish Times, ,N,N, ,17687,21170,1991,3677,429,TRUE,6,12,18,129,127,256,0.313398,216.627961,0.220588,0.003558,0.001551,0.00989,-
justinsink,0,346197350,Justin Sink,Bloomberg News,News Magazine,Senate_Press_Galleries,White House Correspondent,M,White,-,I write about the White House for Bloomberg @business and tweet about Philly sports. E-mail me at jsink1 at bloomberg dot net.,TRUE,FALSE,FALSE, ,Bloomberg, ,N,N, ,15482,19545,1252,4367,672,TRUE,95,69,164,287,151,438,0.373422,9738.092626,0.159454,0.302414,0.049594,0.044979,-
Tonymauro,0,19206876,Tony Mauro,National Law Journal,-,Senate_Periodical_Galleries,Supreme Court Correspondent,M,White,-,"Supreme Court correspondent, https://t.co/571ZdQnzo2 and The National Law Journal @TheNLJ. Interested in all things #scotus",FALSE,TRUE,FALSE,http://www.nationallawjournal.com/,The National Law Journal, , , , ,2444,18937,1213,101,679,FALSE,7,5,12,12,6,18,0.301122,297.392877,0.133333,0.005256,0.000356,0.001751,-
kevcirilli,0,15570213,Kevin Cirilli,Bloomberg News,News Magazine,Senate_Press_Galleries,Chief Washington Correspondent,M,White,-,#delco-native | #dc-based | #runner | @BloombergTV chief Washington correspondent. Onward. üí™üèΩ snapchat / instagram : kevcirilli,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=VmKwKBs7gTk,Bloomberg, ,N,Y, ,29501,18855,3234,10507,747,TRUE,65,58,123,136,121,257,0.368766,15301.88469,0.119305,0.149904,0.035936,0.026195,"Senate list says ""The Hill."""
Alex_Panetta,0,46555511,Alexander Panetta,Canadian Press,-,Senate_Press_Galleries,,M,White,-,"Washington correspondent for The Canadian Press national news agency. Tweets about US politics, Can-US relations, the occasional slice-of-life story. And hockey",FALSE,TRUE,FALSE,https://www.facebook.com/alexanderpanetta,Canadina Press, ,N,Y, ,40018,18829,2681,2852,672,TRUE,50,71,121,574,552,1126,0.37624,12341.69187,0.184066,0.161927,0.031486,0.052106,-
AndrewRestuccia,0,165204211,Andrew Restuccia,Politico,Digital,Senate_Periodical_Galleries,,M,White,-,White House reporter at POLITICO arestuccia@politico.com,TRUE,FALSE,FALSE,http://www.politico.com/,POLITICO, ,N,N, ,9308,18688,2115,886,979,TRUE,106,83,189,263,156,419,0.373822,18487.30749,0.143962,0.296915,0.053558,0.050122,-
rachanadixit,0,247852986,Rachana D. Pradhan,Politico,Digital,Senate_Periodical_Galleries,Healthcare Reporter,F,Asian,-,Writing all about health care and the states for @politico/@politicopro. I don't tweet about sports. DM me for Signal/WhatsApp.,FALSE,FALSE,FALSE,http://www.politico.com/healthcare,POLITICO, ,N,N, ,4271,18370,1399,1792,489,TRUE,24,18,42,67,27,94,0.323868,780.598868,0.267045,0.043025,0.008989,0.005792,-
maggiemfox,0,19164430,Maggie Fox,NBC News,Television Network News and Public Affairs,Radio_and_Television,Senior Health Writer,F,White,-,Senior health writer @NBCNewshealth Science/Health/Tech in plain English. Yes that's my foot and my coconut   https://t.co/lvr9kWlEly,FALSE,FALSE,FALSE,http://www.nbcnews.com,NBC, ,N,N, ,15432,18335,2744,2136,848,TRUE,12,16,28,23,20,43,0.323928,4272.258797,0.161232,0.013348,0.004718,0.004839,-
JessBravin,0,80928773,Jess Bravin,Wall Street Journal,Newspapers,Senate_Press_Galleries,,M,White,-,"Supreme Court correspondent for The Wall Street Journal and author of ""THE TERROR COURTS: Rough Justice at Guantanamo Bay.""",FALSE,TRUE,FALSE,https://www.amazon.com/Terror-Courts-Rough-Justice-Guantanamo/dp/325597/ref=sr_1_1?ie=UTF8&qid=1,WSJ, , , , ,6725,17685,2861,126,823,TRUE,25,22,47,43,32,75,0.324893,3299.664518,0.194444,0.055839,0.009343,0.011035,"""Reach me in confidence via Signal."""
JoanneKenen,0,370489880,Joanne Kenen,Politico,Digital,Senate_Periodical_Galleries,"Executive Editor, Health",F,White,-,"Exec Editor, Health, POLITICO. Health policy & politics -- birth, death and everything in between. RTs... the usual",FALSE,FALSE,FALSE,http://www.politico.com,POLITICO, ,N,N, ,17499,17422,1814,3619,874,TRUE,30,72,102,97,246,343,0.373982,7527.912569,0.17299,0.04752,0.009534,0.036637,-
eschor,0,46417885,Elana Schor,Politico,Digital,Senate_Periodical_Galleries,Congressional Reporter,F,White,"""Former Knight Fellow at MIT.""","Congressional reporter at @politico. Former MIT Knight Fellow. Send news: eschor@politico.com, DMs are open. RTs ‚â† deeper meaning.",FALSE,FALSE,FALSE, ,POLITICO, ,N,N, ,14468,16796,759,1698,883,TRUE,99,100,199,372,349,721,0.386575,13678.09222,0.187735,0.324734,0.05715,0.069897,-
tomlobianco,0,17466186,Tom LoBianco,Associated Press,Wire Services,Senate_Press_Galleries,,M,White,"""Priors @AP in Indiana, @Indystar, @WashTimes.""","Dad, Husband. #TrumpRussia at the White House for @AP. Author of the forthcoming biography of Mike Pence. ‚ÄúFerret"" per @senfeinstein. 4102062844. Open DMs.",TRUE,FALSE,FALSE, ,AP, ,N,N, ,18882,16162,8482,1253,634,TRUE,17,24,41,35,51,86,0.327576,840.285561,0.245238,0.078758,0.00859,0.016329,-
DionNissenbaum,0,100860790,Dion Nissenbaum,Wall Street Journal,Newspapers,Senate_Press_Galleries,,M,White,"""Formerly based Istanbul, Kabul, Jerusalem.""","Reporter for The Wall Street Journal based in DC. Formerly based Istanbul, Kabul, Jerusalem. Author of A Street Divided: Stories from Jerusalem's Alley of God.",FALSE,FALSE,FALSE,http://www.amazon.com/Street-Divided-Stories-Jerusalems-Alley/dp/12572948,WSJ, ,N,N, ,11715,16104,2308,428,743,TRUE,48,28,76,70,61,131,0.328193,3278.733144,0.161298,0.094965,0.017989,0.012985,-
hbottemiller,0,26953478,Helena Bottemiller Evich,Politico,Digital,Senate_Periodical_Galleries,Senior Food & Agriculture Reporter,F,White,-,"Senior food & agriculture reporter at @politico; lover of happy hours, the Pacific Northwest & GAO reports. Say hi: hbottemiller/@/politico/./com",FALSE,FALSE,FALSE,http://www.politico.com/staff/helena-bottemiller-evich,POLITICO, ,N,N, ,16389,16072,3740,2805,839,TRUE,33,23,56,83,61,144,0.331749,7293.21752,0.178295,0.052957,0.012451,0.007926,-
SecretsBedard,0,18029328,Paul Bedard,Washington Examiner,-,Senate_Press_Galleries,,M,White,-,Washington Secrets guy pbedard@washingtonexaminer.com,FALSE,FALSE,FALSE,http://washingtonexaminer.com/politics/washington-secrets,Washington Examiner, , , , ,25483,16014,4643,135,544,TRUE,14,12,26,29,33,62,0.325681,546.019855,0.231579,0.029606,0.006111,0.009059,-
sdonnan,0,21810329,Shawn Donnan,Financial Times,-,Senate_Press_Galleries,,M,White,"""Former World News Editor.""","World Trade Ed for @FT. Ex World News Ed. Trade, globalisation etc. Proud Aussie descendant of cricketer Harry Donnan. RTs = what I‚Äôm seeing not what I believe.",FALSE,FALSE,FALSE,http://www.ft.com,FT, ,N,N, ,96423,15678,6357,4753,749,TRUE,40,79,119,244,517,761,0.371593,12444.10838,0.165241,0.094454,0.020802,0.051259,-
sppeoples,0,87498687,Steve Peoples,Associated Press,Wire Services,Senate_Press_Galleries,,M,White,-,"NH native who covers national politics for AP, bleeds for New England sports and seeks the world's best tacos. Send me tips: speoples@ap.org",FALSE,FALSE,FALSE, ,AP, , , , ,8693,15636,3464,682,758,TRUE,47,33,80,89,66,155,0.348791,9748.922543,0.200834,0.18227,0.027795,0.023938,-
TomokoHosaka,0,15035816,Tomoko Hosaka,Associated Press,Wire Services,Senate_Press_Galleries,Economy Reporter,F,Asian,"""Past: @Plympton @Ustream @AP_Tokyo""",Economy/Video/Social @APBusiness | @AAJA Media Institute co-director | Northwestern Wildcat | Hitched to @craigmmullaney | Past: @Plympton @Ustream @AP_Tokyo,FALSE,FALSE,TRUE,http://www.ap.org,AP, , , , ,10017,15303,3192,447,1247,TRUE,4,8,12,11,20,31,0.28448,39.391271,0.361111,0.001746,0.000516,0.003606,-
bykowicz,0,37721714,Julie Bykowicz,Wall Street Journal,Newspapers,Senate_Press_Galleries,White House Reporter,F,White,"""Baltimore enthusiast.""","Wall Street Journal (@WSJ), money and politics. Priors: AP, Bloomberg, The Baltimore Sun",FALSE,FALSE,FALSE,https://www.wsj.com/news/author/8658,WSJ, , , , ,16613,15220,1013,3717,774,TRUE,85,74,159,204,236,440,0.366135,16063.19887,0.124213,0.216194,0.0378,0.040272,-
llerer,0,12670512,Lisa Lerer,Associated Press,Wire Services,Senate_Press_Galleries,,F,White,-,Nieman fellow 2017-18. National Politics Reporter with The Associated Press. Travel points junkie. Ice cream expert. Views are my own. Email me: llerer@ap.org,FALSE,FALSE,FALSE,http://bigstory.ap.org/journalist/lisa-lerer,AP, ,N,N, ,6988,15170,1338,329,699,TRUE,4,7,11,5,10,15,0.308304,5.486148,0.464286,0.018402,0.002511,0.005737,-
nataliewsj,0,14630267,Natalie Andrews,Wall Street Journal,Newspapers,Senate_Press_Galleries,,F,White,-,Congress reporter for @WSJ in Washington. Originally from Utah. Mom to a pug. email: natalie.andrews@wsj.com Cover photo: Greg Nash,FALSE,FALSE,FALSE,http://topics.wsj.com/person/N/natalie-andrews/8271?mod=DNH_S_tp,WSJ, , , , ,36586,13873,2757,3910,741,TRUE,61,41,102,129,95,224,0.354891,5003.518693,0.183488,0.164872,0.035058,0.026587,-
nahaltoosi,0,76611108,Nahal Toosi,Politico,Digital,Senate_Periodical_Galleries,,F,Middle Eastern,-,Covering foreign policy for POLITICO. ‚ÄúShe isn‚Äôt one to back down.‚Äù ‚Äì the @StateDept. RTs are what interests me. More: https://t.co/EcEF41Tbay,FALSE,FALSE,FALSE,https://www.facebook.com/nahaltoosijournalism/,POLITICO, ,N,N, ,12916,13250,1152,383,555,TRUE,54,49,103,164,156,320,0.358906,11962.03889,0.19537,0.174959,0.027531,0.032629,Lists Facebook.
shawnzeller,0,148771088,Shawn Zeller,CQ Roll Call,Capitol Hill publications,Senate_Press_Galleries,,M,White,"""part of @PolitiFact's '08 Pulitzer team; @nationaljournal and @GovExec alum""",Deputy Editor of CQ Magazine; host of CQ on Congress podcast. Contact: szeller@cq.com,FALSE,FALSE,FALSE,http://www.cq.com,CQ, , , , ,4138,13193,4221,490,322,FALSE,8,14,22,10,38,48,0.305658,4884.911339,0.216667,0.006235,0.00096,0.002007,-
borenbears,0,39800314,seth borenstein,Associated Press,Wire Services,Senate_Press_Galleries,Science Writer,M,White,-,"Associated Press science writer. sborenstein@ap.org. I cover Earth & other sciences, disasters & more. Dad, BoSox fan. Teach at NYU/DC https://t.co/9475JbARvU",FALSE,FALSE,FALSE,http://tinyurl.com/sethap,AP, , , , ,6478,13063,1729,120,830,TRUE,17,3,20,22,6,28,0.253929,437.915021,0.108187,0.029741,0.006701,0.000608,-
luisalonsolugo,0,62639813,Luis Alonso Lugo,Associated Press,Wire Services,Senate_Press_Galleries,,M,HIspanic,"""alumno @bolivarygaribal @ecsucv @ElNacionalWeb @ABC_Master""",Corresponsal @AP_Noticias https://t.co/GnOD5UMoXR lalonso@ap.org #caraquista #madridista alumno @bolivarygaribal @ComSocialUCV @ElNacionalWeb @ABC_Master,FALSE,FALSE,FALSE,http://www.linkedin.com/in/luisalonsolugo,AP, , , , ,3640,12769,11794,40,249,TRUE,1,1,2,1,1,2,0.25871,0,0.5,0.000346,0.000114,0.000339,"""Luis Alonso Lugo"" on Twitter, ""#followback"""
Julie_appleby,0,183735745,Julie Appleby,Kaiser Health News,Digital,Senate_Press_Galleries,,F,White,-,http://www.kaiserhealthnews.org/Reporters/Appl...,FALSE,FALSE,FALSE,"Senior reporter at @KHNews, covering health po...",Kaiser Health News, , , , ,589,12720,96,8,559,FALSE,4,3,7,7,3,10,0.26629,23.998605,0.3,0.002536,0.001134,0.000083,0
AlHuntDC,0,309883487,Albert Hunt,Bloomberg News,News Magazine,Senate_Press_Galleries,"Columnist, Bloomberg View",M,White,"Concurrent: Host, @BloombergTV's Political Capital, Bloomberg & IHT Columnist",Columnist @BloombergView; Host of @BloombergTV's Political Capital; Columnist for Bloomberg and IHT,FALSE,FALSE,FALSE,http://www.bloomberg.com/view/bios/albert-hunt/,Bloomberg, , , , ,588,12539,190,1,520,TRUE,4,2,6,13,11,24,0.262841,2.442001,0.4,0.003799,0.001271,0.000355,-
SteveScully,0,24926288,Steve Scully,C–SPAN,Television Network News and Public Affairs,Radio_and_Television,"Political Editor & Host, Washington Journal",M,White,-,"C-SPAN's Political Editor, Senior Executive Producer & Host - Washington Journal & other C-SPAN programs.  Loves Politics, Washington Nationals & being a dad !",FALSE,FALSE,FALSE,http://www.cspan.org,CSPAN, , , , ,5554,12284,4895,10,486,TRUE,5,6,11,14,17,31,0.318373,113.411606,0.321429,0.013391,0.001711,0.004337,-
louiseradnofsky,0,376234071,Louise Radnofsky,Wall Street Journal,Newspapers,Senate_Press_Galleries,White House & Health Policy Reporter,F,White,-,White House reporter for the Wall Street Journal. Can‚Äôt quit health policy. Life-long American abroad. Sometimes I‚Äôm thinking about sports. Likes are accidents.,TRUE,FALSE,FALSE,http://topics.wsj.com/person/R/louise-radnofsky/7253,WSJ, , , , ,4522,11732,2735,0,587,TRUE,14,12,26,40,55,95,0.284063,1338.643517,0.366013,0.041382,0.00384,0.002868,-
dsamuelsohn,0,15993122,Darren Samuelsohn,Politico,Digital,Senate_Periodical_Galleries,Senior White House Reporter,M,White,-,"POLITICO senior reporter; former golf caddy, taxi driver, Chuck E. Cheese & Baskin-Robbins scooper, Mizzou J-School, dsamuelsohn@politico.com",FALSE,FALSE,FALSE,http://www.politico.com/reporters/DarrenSamuelsohn.html,POLITICO, ,N,N, ,4846,11708,9826,394,574,TRUE,35,18,53,77,38,115,0.332761,2733.031563,0.23588,0.122937,0.020126,0.012215,-
HouseInSession,0,45604374,Billy House,Bloomberg News,News Magazine,Senate_Press_Galleries,Congressional Correspondent,M,White,"""Previously, DC reporter National Journal, Tampa Trib, AZ Republic & Gannett.""","Congressional correspondent for Bloomberg News. Previously, DC reporter with National Journal, Tampa Trib, AZ Republic and Gannett. Opinions and tweets my own.",FALSE,TRUE,FALSE, ,Bloomberg, ,N,N, ,6476,11137,764,60,487,FALSE,52,32,84,180,71,251,0.356413,7203.147871,0.217548,0.159676,0.029082,0.022545,-
davidjoachim,0,36510873,David S. Joachim,Bloomberg News,News Magazine,Senate_Press_Galleries,Financial Crimes Editor,M,White,"""Ex-""failing"" NYT, ex-GWU""","Everyone needs an editor | Financial investigations, Bloomberg | Ex-""failing"" NYT | @SyracuseComm student | Opinions my own, because whose would they be?",FALSE,FALSE,FALSE,http://www.davidjoachim.com,Bloomberg, ,N ,N, ,37730,10913,3636,334,522,TRUE,58,88,146,423,442,865,0.375916,20037.35005,0.125999,0.179398,0.035236,0.045327,"Senate list says ""New York Times"""
